date,coordinates,points
20220407,"-124.511617, 49.345583",POINT (-124.511617 49.345583)
20220526,"-124.626617, 49.288833",POINT (-124.626617 49.288833)
20220529,"-123.624117, 49.461333",POINT (-123.624117 49.461333)
20220628,"-125.9002, 50.107333",POINT (-125.9002 50.107333)
20220628,"-125.9647, 50.1548",POINT (-125.9647 50.1548)
20220628,"-124.69545, 50.855867",POINT (-124.69545 50.855867)
20220628,"-126.51855, 50.24475",POINT (-126.51855 50.24475)
20220628,"-124.730067, 50.87515",POINT (-124.730067 50.87515)
20220629,"-123.875483, 48.754783",POINT (-123.875483 48.754783)
20220630,"-124.308883, 48.804967",POINT (-124.308883 48.804967)
20220702,"-124.547867, 49.910467",POINT (-124.547867 49.910467)
20220711,"-124.720917, 49.220883",POINT (-124.720917 49.220883)
20220714,"-123.890883, 49.7523",POINT (-123.890883 49.7523)
20220715,"-123.149, 49.84845",POINT (-123.149 49.84845)
20220719,"-123.25925, 49.50845",POINT (-123.25925 49.50845)
20220722,"-124.175883, 50.635533",POINT (-124.175883 50.635533)
20220723,"-124.679833, 50.843333",POINT (-124.679833 50.843333)
20220724,"-124.756333, 49.2612",POINT (-124.756333 49.2612)
20220726,"-124.339533, 48.771067",POINT (-124.339533 48.771067)
20220726,"-126.270767, 49.671517",POINT (-126.270767 49.671517)
20220731,"-123.768467, 49.478167",POINT (-123.768467 49.478167)
20220801,"-123.244283, 49.547",POINT (-123.244283 49.547)
20220801,"-125.742633, 50.239083",POINT (-125.742633 50.239083)
20220802,"-125.947783, 50.2737",POINT (-125.947783 50.2737)
20220805,"-123.8393, 48.989217",POINT (-123.8393 48.989217)
20220809,"-125.4645, 49.45695",POINT (-125.4645 49.45695)
20220809,"-126.367133, 49.9097",POINT (-126.367133 49.9097)
20220809,"-125.499917, 49.3874",POINT (-125.499917 49.3874)
20220810,"-125.273417, 49.230283",POINT (-125.273417 49.230283)
20220810,"-125.183333, 48.8",POINT (-125.183333 48.8)
20220810,"-125.485117, 49.61725",POINT (-125.485117 49.61725)
20220810,"-125.4895, 49.616783",POINT (-125.4895 49.616783)
20220810,"-124.799033, 50.197417",POINT (-124.799033 50.197417)
20220810,"-125.260417, 49.256",POINT (-125.260417 49.256)
20220810,"-124.724733, 48.793183",POINT (-124.724733 48.793183)
20220810,"-125.476083, 49.42825",POINT (-125.476083 49.42825)
20220811,"-126.232133, 49.9818",POINT (-126.232133 49.9818)
20220811,"-126.323867, 49.885283",POINT (-126.323867 49.885283)
20220811,"-126.233317, 49.9819",POINT (-126.233317 49.9819)
20220811,"-124.850433, 49.513733",POINT (-124.850433 49.513733)
20220812,"-125.755833, 50.39355",POINT (-125.755833 50.39355)
20220812,"-125.484667, 49.452",POINT (-125.484667 49.452)
20220813,"-126.4498, 50.298133",POINT (-126.4498 50.298133)
20220813,"-123.622083, 49.465333",POINT (-123.622083 49.465333)
20220814,"-125.73, 49.655883",POINT (-125.73 49.655883)
20220814,"-126.295333, 50.000083",POINT (-126.295333 50.000083)
20220815,"-126.739217, 50.2162",POINT (-126.739217 50.2162)
20220815,"-125.82395, 49.68545",POINT (-125.82395 49.68545)
20220817,"-125.519533, 49.400083",POINT (-125.519533 49.400083)
20220818,"-125.801, 49.873717",POINT (-125.801 49.873717)
20220818,"-123.344033, 49.454133",POINT (-123.344033 49.454133)
20220818,"-123.931083, 49.073633",POINT (-123.931083 49.073633)
20220819,"-125.81195, 49.902583",POINT (-125.81195 49.902583)
20220819,"-123.929583, 48.756633",POINT (-123.929583 48.756633)
20220819,"-126.376283, 50.015633",POINT (-126.376283 50.015633)
20220819,"-125.6412, 49.527617",POINT (-125.6412 49.527617)
20220819,"-125.63145, 49.74955",POINT (-125.63145 49.74955)
20220819,"-126.808033, 50.064867",POINT (-126.808033 50.064867)
20220819,"-125.673133, 49.512",POINT (-125.673133 49.512)
20220819,"-126.259067, 50.010817",POINT (-126.259067 50.010817)
20220819,"-123.243166, 49.387767",POINT (-123.243166 49.387767)
20220819,"-125.698033, 49.701117",POINT (-125.698033 49.701117)
20220819,"-125.628917, 49.8787",POINT (-125.628917 49.8787)
20220819,"-125.568217, 49.801133",POINT (-125.568217 49.801133)
20220819,"-123.992883, 48.98495",POINT (-123.992883 48.98495)
20220819,"-124.08395, 48.76175",POINT (-124.08395 48.76175)
20220819,"-125.728583, 49.49455",POINT (-125.728583 49.49455)
20220819,"-125.7925, 49.8768",POINT (-125.7925 49.8768)
20220819,"-126.592367, 50.0733",POINT (-126.592367 50.0733)
20220819,"-125.583117, 49.613033",POINT (-125.583117 49.613033)
20220822,"-125.637883, 49.50595",POINT (-125.637883 49.50595)
20220822,"-125.344383, 49.605383",POINT (-125.344383 49.605383)
20220822,"-125.617967, 49.88305",POINT (-125.617967 49.88305)
20220822,"-123.691683, 48.3361",POINT (-123.691683 48.3361)
20220824,"-125.418583, 49.314083",POINT (-125.418583 49.314083)
20220824,"-123.454366, 48.43185",POINT (-123.454366 48.43185)
20220824,"-125.606533, 49.614717",POINT (-125.606533 49.614717)
20220826,"-125.347217, 50.07895",POINT (-125.347217 50.07895)
20220827,"-123.462533, 48.466",POINT (-123.462533 48.466)
20220828,"-125.0156, 49.34975",POINT (-125.0156 49.34975)
20220828,"-123.535133, 48.520283",POINT (-123.535133 48.520283)
20220828,"-124.439883, 49.807333",POINT (-124.439883 49.807333)
20220829,"-126.451917, 50.035033",POINT (-126.451917 50.035033)
20220829,"-123.20745, 49.4858",POINT (-123.20745 49.4858)
20220830,"-126.458633, 50.03125",POINT (-126.458633 50.03125)
20220830,"-125.115367, 49.720667",POINT (-125.115367 49.720667)
20220830,"-123.5165, 49.576283",POINT (-123.5165 49.576283)
20220831,"-126.3185, 49.906133",POINT (-126.3185 49.906133)
20220901,"-126.134967, 49.918167",POINT (-126.134967 49.918167)
20220901,"-126.3327, 49.9808",POINT (-126.3327 49.9808)
20220902,"-125.251683, 50.101517",POINT (-125.251683 50.101517)
20220903,"-123.90745, 49.030583",POINT (-123.90745 49.030583)
20220905,"-125.984883, 49.866467",POINT (-125.984883 49.866467)
20220905,"-124.879133, 50.433467",POINT (-124.879133 50.433467)
20220905,"-124.449317, 50.599733",POINT (-124.449317 50.599733)
20220905,"-123.923083, 50.703717",POINT (-123.923083 50.703717)
20220905,"-124.450733, 50.419833",POINT (-124.450733 50.419833)
20220905,"-124.0158, 50.40325",POINT (-124.0158 50.40325)
20220907,"-125.058083, 49.617783",POINT (-125.058083 49.617783)
20220908,"-123.972133, 49.0712",POINT (-123.972133 49.0712)
20220910,"-124.754217, 49.43705",POINT (-124.754217 49.43705)
20220910,"-123.27055, 48.602033",POINT (-123.27055 48.602033)
20220912,"-123.009583, 49.374733",POINT (-123.009583 49.374733)
20220912,"-124.0563, 50.098717",POINT (-124.0563 50.098717)
20220912,"-123.320117, 49.722217",POINT (-123.320117 49.722217)
20220913,"-125.134117, 50.13175",POINT (-125.134117 50.13175)
20220913,"-124.472033, 48.925383",POINT (-124.472033 48.925383)
20220914,"-124.993083, 49.699417",POINT (-124.993083 49.699417)
20220916,"-123.99375, 49.066783",POINT (-123.99375 49.066783)
20220917,"-124.761416, 49.2418",POINT (-124.761416 49.2418)
20220919,"-125.0124, 49.008867",POINT (-125.0124 49.008867)
20220920,"-125.417783, 49.911",POINT (-125.417783 49.911)
20220920,"-124.1895, 48.883867",POINT (-124.1895 48.883867)
20220921,"-126.285183, 50.259167",POINT (-126.285183 50.259167)
20220922,"-124.521, 49.843",POINT (-124.521 49.843)
20220923,"-123.237883, 49.438967",POINT (-123.237883 49.438967)
20220926,"-125.290783, 49.887167",POINT (-125.290783 49.887167)
20220927,"-125.289883, 49.727917",POINT (-125.289883 49.727917)
20220927,"-125.29345, 50.0677",POINT (-125.29345 50.0677)
20220929,"-123.152083, 49.6787",POINT (-123.152083 49.6787)
20220929,"-124.971083, 49.248283",POINT (-124.971083 49.248283)
20220930,"-123.198666, 48.782733",POINT (-123.198666 48.782733)
20220930,"-123.176967, 49.738767",POINT (-123.176967 49.738767)
20221001,"-124.146633, 49.19535",POINT (-124.146633 49.19535)
20221001,"-124.113033, 49.275",POINT (-124.113033 49.275)
20221002,"-124.509, 49.357533",POINT (-124.509 49.357533)
20221002,"-123.498217, 49.438",POINT (-123.498217 49.438)
20221003,"-124.572333, 49.739083",POINT (-124.572333 49.739083)
20221003,"-124.09275, 48.505367",POINT (-124.09275 48.505367)
20221003,"-123.545117, 48.4989",POINT (-123.545117 48.4989)
20221004,"-124.019217, 49.163983",POINT (-124.019217 49.163983)
20221004,"-126.9418, 50.390983",POINT (-126.9418 50.390983)
20221005,"-124.9037, 49.319283",POINT (-124.9037 49.319283)
20221007,"-123.854083, 48.7578",POINT (-123.854083 48.7578)
20221008,"-124.140417, 48.447633",POINT (-124.140417 48.447633)
20221008,"-123.520083, 48.80205",POINT (-123.520083 48.80205)
20221009,"-124.978116, 49.748033",POINT (-124.978116 49.748033)
20221009,"-124.77645, 49.203083",POINT (-124.77645 49.203083)
20221009,"-124.784716, 49.202783",POINT (-124.784716 49.202783)
20221010,"-124.9029, 50.073567",POINT (-124.9029 50.073567)
20221013,"-124.786217, 49.2577",POINT (-124.786217 49.2577)
20221014,"-124.915167, 49.273583",POINT (-124.915167 49.273583)
20221014,"-123.382567, 48.8146",POINT (-123.382567 48.8146)
20221014,"-123.243167, 49.367333",POINT (-123.243167 49.367333)
20221014,"-124.853117, 49.250533",POINT (-124.853117 49.250533)
20221015,"-124.762533, 49.179417",POINT (-124.762533 49.179417)
20221015,"-124.523833, 49.855667",POINT (-124.523833 49.855667)
20221017,"-123.189033, 49.626717",POINT (-123.189033 49.626717)
20221019,"-124.429133, 49.84625",POINT (-124.429133 49.84625)
20221020,"-124.571967, 48.888867",POINT (-124.571967 48.888867)
20221020,"-125.609166, 49.431117",POINT (-125.609166 49.431117)
20221022,"-125.559533, 50.232617",POINT (-125.559533 50.232617)
20221023,"-124.766383, 49.426833",POINT (-124.766383 49.426833)
20221024,"-125.193866, 50.135483",POINT (-125.193866 50.135483)
20221027,"-124.698266, 49.250917",POINT (-124.698266 49.250917)
20221030,"-125.772167, 50.418617",POINT (-125.772167 50.418617)
20221105,"-124.004866, 49.673767",POINT (-124.004866 49.673767)
20221108,"-124.304533, 49.049633",POINT (-124.304533 49.049633)
20221116,"-124.317817, 48.538",POINT (-124.317817 48.538)
20221116,"-126.060083, 49.646917",POINT (-126.060083 49.646917)
20221117,"-125.311517, 49.42095",POINT (-125.311517 49.42095)
20221119,"-123.9036, 49.529167",POINT (-123.9036 49.529167)
20221120,"-124.669383, 49.289117",POINT (-124.669383 49.289117)
20221129,"-123.722233, 48.6723",POINT (-123.722233 48.6723)
20230124,"-123.899867, 49.527017",POINT (-123.899867 49.527017)
